Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Total_Cost,Profit,Sales_Channel,Payment_Method,Customer_Rating
ORD-00081,2025-12-03,C1035,Small Business,East,Halifax,Furniture,Standing Desk,10,552.25,0.05,5246.38,3300.0,1946.38,Partner,PayPal,4
ORD-00082,2025-08-21,C1153,Small Business,East,Montreal,Furniture,Standing Desk,10,531.64,0,5316.4,3300.0,2016.4,Retail Store,Credit Card,3
ORD-00083,2025-11-29,C1089,Consumer,West,Victoria,Furniture,Office Chair,2,339.64,0.05,645.32,370.0,275.32,Retail Store,Bank Transfer,4
ORD-00084,2025-09-04,C1238,Small Business,Central,Winnipeg,Accessories,Keyboard,1,72.78,0.1,65.5,28.0,37.5,Online,Debit Card,5
ORD-00085,2025-03-17,C1196,Corporate,Central,Ottawa,Electronics,Printer,1,196.03,0.05,186.23,112.0,74.23,Retail Store,Credit Card,
ORD-00086,2025-08-31,C1140,Corporate,Central,Winnipeg,Furniture,Office Chair,2,335.21,0.2,536.34,370.0,166.34,Online,Credit Card,3
ORD-00087,2026-05-24,C1392,Consumer,Central,Toronto,Electronics,Printer,4,205.1,0,820.4,448.0,372.4,Online,Credit Card,4
ORD-00088,2025-02-10,C1089,Small Business,Central,Ottawa,Electronics,Laptop,2,922.26,0,1844.52,1240.0,604.52,Online,Debit Card,4
ORD-00089,2026-01-10,C1382,Consumer,East,Halifax,Accessories,Headset,5,92.75,0.05,440.56,190.0,250.56,Retail Store,Credit Card,5
ORD-00090,2026-04-25,C1187,Small Business,West,Vancouver,Accessories,Mouse,5,41.21,0.2,164.84,70.0,94.84,Partner,Bank Transfer,4
ORD-00091,2025-01-15,C1190,Small Business,Central,Winnipeg,Electronics,Monitor,2,258.05,0.05,490.3,290.0,200.3,Retail Store,Debit Card,4
ORD-00092,2026-04-28,C1358,Small Business,West,Calgary,Accessories,USB-C Hub,1,79.7,0.1,71.73,31.0,40.73,Retail Store,Bank Transfer,5
ORD-00093,2025-04-30,C1232,Consumer,West,Vancouver,Electronics,Laptop,1,867.2,0.15,737.12,620.0,117.12,Online,Bank Transfer,5
ORD-00094,2025-06-08,C1111,Small Business,Central,Winnipeg,Electronics,Monitor,5,254.75,0,1273.75,725.0,548.75,Partner,Bank Transfer,
ORD-00095,2025-08-30,C1062,Corporate,Central,Toronto,Furniture,Office Chair,2,319.75,0,639.5,370.0,269.5,Online,Credit Card,
ORD-00096,2025-08-06,C1105,Consumer,East,Halifax,Electronics,Printer,10,205.73,0.2,1645.84,1120.0,525.84,Online,Debit Card,4
ORD-00097,2025-08-10,C1276,Small Business,West,Victoria,Accessories,Keyboard,4,73.4,0.2,234.88,112.0,122.88,Online,Debit Card,5
ORD-00098,2025-04-23,C1026,Small Business,East,Montreal,Accessories,Keyboard,1,67.71,0,67.71,28.0,39.71,Online,Bank Transfer,4
ORD-00099,2026-06-23,C1314,Small Business,West,Calgary,Electronics,Monitor,2,250.09,0,500.18,290.0,210.18,Retail Store,PayPal,3
ORD-00100,2026-04-15,C1227,Corporate,East,Montreal,Electronics,Laptop,10,919.11,0,9191.1,6200.0,2991.1,Online,Credit Card,4
ORD-00101,2025-11-26,C1271,Small Business,East,Montreal,Electronics,Monitor,3,247.01,0.1,666.93,435.0,231.93,Retail Store,Bank Transfer,5
ORD-00102,2026-06-02,C1443,Consumer,East,Quebec City,Electronics,Monitor,4,251.27,0.15,854.32,580.0,274.32,Retail Store,Bank Transfer,4
ORD-00103,2026-04-08,C1130,Consumer,West,Victoria,Furniture,Office Chair,4,323.8,0,1295.2,740.0,555.2,Retail Store,Debit Card,5
ORD-00104,2026-05-01,C1300,Consumer,West,Vancouver,Electronics,Monitor,1,251.4,0.1,226.26,145.0,81.26,Retail Store,Credit Card,5
ORD-00105,2026-02-25,C1295,Small Business,Central,Winnipeg,Furniture,Standing Desk,5,541.83,0.05,2573.69,1650.0,923.69,Partner,Debit Card,4
ORD-00106,2026-05-09,C1432,Consumer,West,Vancouver,Furniture,Office Chair,5,340.13,0.05,1615.62,925.0,690.62,Retail Store,PayPal,3
ORD-00107,2025-01-30,C1035,Consumer,West,Victoria,Accessories,Headset,6,91.41,0,548.46,228.0,320.46,Online,Credit Card,4
ORD-00108,2025-04-04,C1290,Consumer,East,Halifax,Accessories,Mouse,2,39.29,0,78.58,28.0,50.58,Online,Credit Card,4
ORD-00109,2025-06-09,C1139,Consumer,West,Calgary,Electronics,Laptop,3,894.77,0.05,2550.09,1860.0,690.09,Retail Store,Credit Card,4
ORD-00110,2025-12-20,C1028,Small Business,Central,Toronto,Accessories,Headset,5,87.47,0,437.35,190.0,247.35,Retail Store,Debit Card,3
ORD-00111,2025-11-05,C1360,Consumer,West,Vancouver,Accessories,Headset,3,86.65,0.05,246.95,114.0,132.95,Online,PayPal,4
ORD-00112,2025-03-15,C1207,Consumer,Central,Winnipeg,Electronics,Laptop,2,893.63,0,1787.26,1240.0,547.26,Online,PayPal,5
ORD-00113,2025-04-28,C1223,Corporate,Central,Toronto,Furniture,Office Chair,1,325.43,0.1,292.89,185.0,107.89,Online,Debit Card,4
ORD-00114,2026-03-23,C1039,Corporate,East,Quebec City,Accessories,USB-C Hub,1,82.22,0,82.22,31.0,51.22,Retail Store,Debit Card,4
ORD-00115,2025-12-24,C1038,Consumer,Central,Winnipeg,Accessories,Keyboard,3,71.81,0.05,204.66,84.0,120.66,Online,Bank Transfer,4
ORD-00116,2026-04-21,C1321,Corporate,East,Halifax,Electronics,Webcam,3,117.87,0.2,282.89,165.0,117.89,Retail Store,Debit Card,5
ORD-00117,2026-03-27,C1236,Small Business,West,Victoria,Electronics,Webcam,3,114.88,0,344.64,165.0,179.64,Retail Store,Credit Card,
ORD-00118,2025-02-28,C1297,Corporate,Central,Ottawa,Electronics,Monitor,3,247.1,0.05,704.23,435.0,269.23,Online,Bank Transfer,3
ORD-00119,2025-07-12,C1365,Corporate,Central,Winnipeg,Electronics,Webcam,2,124.04,0.1,223.27,110.0,113.27,Online,Debit Card,4
ORD-00120,2025-02-10,C1198,Consumer,West,Calgary,Electronics,Webcam,10,125.0,0,1250.0,550.0,700.0,Retail Store,PayPal,5
ORD-00121,2025-02-23,C1336,Consumer,East,Halifax,Furniture,Office Chair,1,337.37,0,337.37,185.0,152.37,Retail Store,PayPal,4
ORD-00122,2025-03-25,C1362,Consumer,East,Halifax,Accessories,Keyboard,6,67.39,0.1,363.91,168.0,195.91,Retail Store,PayPal,4
ORD-00123,2026-01-21,C1330,Corporate,East,Quebec City,Accessories,Keyboard,3,70.17,0.1,189.46,84.0,105.46,Retail Store,PayPal,5
ORD-00124,2025-01-19,C1079,Consumer,Central,Ottawa,Accessories,Keyboard,8,73.49,0,587.92,224.0,363.92,Retail Store,PayPal,4
ORD-00125,2025-04-14,C1083,Consumer,East,Halifax,Accessories,USB-C Hub,1,79.0,0,79.0,31.0,48.0,Retail Store,Debit Card,4
ORD-00126,2026-03-25,C1229,Consumer,West,Victoria,Furniture,Office Chair,3,338.19,0,1014.57,555.0,459.57,Online,Debit Card,4
ORD-00127,2025-11-13,C1270,Small Business,Central,Toronto,Furniture,Office Chair,5,339.17,0.1,1526.27,925.0,601.27,Online,Debit Card,5
ORD-00128,2025-07-24,C1264,Consumer,East,Montreal,Accessories,Headset,1,91.89,0.15,78.11,38.0,40.11,Online,PayPal,4
ORD-00129,2025-03-27,C1230,Consumer,West,Victoria,Electronics,Webcam,6,116.65,0.2,559.92,330.0,229.92,Online,Credit Card,5
ORD-00130,2026-03-01,C1050,Consumer,West,Victoria,Accessories,USB-C Hub,2,78.54,0,157.08,62.0,95.08,Online,Debit Card,5
ORD-00131,2025-05-21,C1040,Consumer,West,Victoria,Electronics,Webcam,3,114.05,0.05,325.04,165.0,160.04,Retail Store,PayPal,3
ORD-00132,2025-08-09,C1214,Consumer,West,Calgary,Electronics,Printer,2,190.95,0,381.9,224.0,157.9,Online,Credit Card,
ORD-00133,2025-04-24,C1314,Consumer,Central,Winnipeg,Accessories,USB-C Hub,1,79.42,0,79.42,31.0,48.42,Online,Debit Card,5
ORD-00134,2026-03-03,C1259,Consumer,West,Calgary,Electronics,Monitor,2,257.15,0.05,488.58,290.0,198.58,Partner,Bank Transfer,3
ORD-00135,2026-04-27,C1375,Consumer,West,Calgary,Furniture,Standing Desk,10,541.45,0.1,4873.05,3300.0,1573.05,Online,PayPal,4
ORD-00136,2025-05-17,C1245,Small Business,West,Victoria,Accessories,USB-C Hub,1,83.84,0.1,75.46,31.0,44.46,Retail Store,Debit Card,4
ORD-00137,2025-03-06,C1263,Consumer,East,Quebec City,Electronics,Laptop,1,938.99,0,938.99,620.0,318.99,Online,Bank Transfer,5
ORD-00138,2025-09-17,C1409,Corporate,West,Calgary,Accessories,Mouse,1,39.08,0.1,35.17,14.0,21.17,Online,Bank Transfer,5
ORD-00139,2026-02-14,C1136,Consumer,East,Quebec City,Furniture,Standing Desk,1,566.34,0,566.34,330.0,236.34,Retail Store,Bank Transfer,4
ORD-00140,2025-03-22,C1308,Consumer,Central,Winnipeg,Accessories,Keyboard,2,68.64,0.1,123.55,56.0,67.55,Online,Debit Card,5
ORD-00141,2026-03-31,C1405,Corporate,Central,Ottawa,Electronics,Laptop,3,912.54,0.05,2600.74,1860.0,740.74,Retail Store,Credit Card,3
ORD-00142,2026-02-20,C1034,Consumer,Central,Winnipeg,Accessories,Keyboard,8,66.73,0.1,480.46,224.0,256.46,Retail Store,PayPal,4
ORD-00143,2026-01-06,C1293,Small Business,Central,Winnipeg,Electronics,Laptop,3,923.67,0,2771.01,1860.0,911.01,Partner,PayPal,4
ORD-00144,2026-02-12,C1287,Consumer,Central,Winnipeg,Accessories,Headset,1,88.97,0.05,84.52,38.0,46.52,Retail Store,PayPal,4
ORD-00145,2025-09-24,C1436,Consumer,East, Quebec City,Accessories,Mouse,10,38.48,0.05,365.56,140.0,225.56,Partner,Bank Transfer,4
ORD-00146,2025-06-26,C1281,Corporate,East,Quebec City,Electronics,Monitor,4,255.23,0.1,918.83,580.0,338.83,Partner,PayPal,5
ORD-00147,2025-06-11,C1404,Consumer,East,Halifax,Accessories,Keyboard,4,67.46,0,269.84,112.0,157.84,Online,Credit Card,
ORD-00148,2026-01-05,C1203,Corporate,East,Halifax,Furniture,Office Chair,2,315.66,0.15,536.62,370.0,166.62,Online,Bank Transfer,
ORD-00149,2026-02-24,C1449,Small Business,East,Montreal,Accessories,Keyboard,10,68.9,0.1,620.1,280.0,340.1,Online,Debit Card,4
ORD-00150,2026-03-20,C1265,Consumer,East,Montreal,Electronics,Monitor,2,243.13,0.15,413.32,290.0,123.32,Online,Credit Card,5
ORD-00151,2025-09-14,C1303,Small Business,West,Calgary,Accessories,USB-C Hub,1,81.12,0,81.12,31.0,50.12,Retail Store,Debit Card,4
ORD-00152,2025-12-12,C1213,Corporate,East,Montreal,Electronics,Laptop,3,873.96,0,2621.88,1860.0,761.88,Retail Store,Bank Transfer,3
ORD-00153,2025-10-24,C1080,Corporate,East,Quebec City,Electronics,Webcam,1,122.25,0.05,116.14,55.0,61.14,Online,Bank Transfer,
ORD-00154,2026-05-11,C1204,Consumer,Central,Toronto,Furniture,Office Chair,3,341.9,0.1,923.13,555.0,368.13,Retail Store,PayPal,4
ORD-00155,2026-06-12,C1196,Consumer,East,Montreal,Furniture,Office Chair,1,315.16,0,315.16,185.0,130.16,Online,Debit Card,5
ORD-00156,2025-06-13,C1254,Consumer,Central,Winnipeg,Furniture,Office Chair,1,342.5,0.05,325.38,185.0,140.38,Partner,Credit Card,3
ORD-00157,2026-02-07,C1334,Consumer,East,Quebec City,Accessories,Mouse,1,41.52,0.05,39.44,14.0,25.44,Online,PayPal,
ORD-00158,2025-01-09,C1291,Small Business,West,Victoria,Accessories,Keyboard,5,69.29,0,346.45,140.0,206.45,Retail Store,PayPal,4
ORD-00159,2025-10-23,C1065,Consumer,West,Victoria,Accessories,USB-C Hub,2,80.88,0.1,145.58,62.0,83.58,Retail Store,Bank Transfer,4
ORD-00160,2026-01-18,C1070,Consumer,Central,Winnipeg,Furniture,Office Chair,4,314.99,0.05,1196.96,740.0,456.96,Retail Store,Bank Transfer,5
ORD-00161,2026-06-16,C1315,Consumer,Central,Toronto,Electronics,Printer,6,197.85,0,1187.1,672.0,515.1,Partner,PayPal,5
ORD-00162,2026-06-04,C1213,Consumer,East,Halifax,Electronics,Webcam,3,122.08,0,366.24,165.0,201.24,Retail Store,Credit Card,5
ORD-00163,2026-05-01,C1317,Small Business,Central,Winnipeg,Electronics,Printer,2,202.57,0,405.14,224.0,181.14,Retail Store,Debit Card,5
ORD-00164,2025-09-06,C1256,Consumer,West,Calgary,Electronics,Monitor,1,242.59,0.05,230.46,145.0,85.46,Online,Credit Card,
ORD-00165,2025-05-22,C1272,Small Business,East,Montreal,Accessories,USB-C Hub,1,77.38,0,77.38,31.0,46.38,Retail Store,PayPal,5
ORD-00166,2025-09-28,C1394,Consumer,East,Quebec City,Accessories,Mouse,8,41.92,0.2,268.29,112.0,156.29,Online,Debit Card,5
ORD-00167,2026-05-16,C1278,Corporate,Central,Ottawa,Furniture,Office Chair,2,332.41,0,664.82,370.0,294.82,Retail Store,Bank Transfer,5
ORD-00168,2025-12-20,C1109,Small Business,West,Victoria,Electronics,Laptop,2,878.07,0.05,1668.33,1240.0,428.33,Online,PayPal,4
ORD-00169,2025-10-06,C1119,Consumer,West,Vancouver,Electronics,Printer,3,194.5,0.15,495.97,336.0,159.97,Online,Credit Card,3
ORD-00170,2026-02-28,C1208,Small Business,Central,Winnipeg,Electronics,Webcam,1,125.14,0.05,118.88,55.0,63.88,Online,Bank Transfer,
ORD-00171,2025-07-24,C1370,Corporate,Central,Ottawa,Accessories,Headset,3,90.31,0.05,257.38,114.0,143.38,Online,Debit Card,3
ORD-00172,2026-03-04,C1019,Consumer,West,Vancouver,furniture,Standing Desk,4,538.41,0.15,1830.59,1320.0,510.59,Retail Store,PayPal,3
ORD-00173,2025-04-20,C1239,Consumer,Central,Ottawa,Electronics,Webcam,10,124.2,0.15,1055.7,550.0,505.7,Online,Debit Card,5
ORD-00174,2025-04-26,C1345,Small Business,Central,Toronto,Electronics,Webcam,3,117.53,0,352.59,165.0,187.59,Online,Debit Card,4
ORD-00175,2026-02-20,C1127,Small Business,Central,Winnipeg,Furniture,Office Chair,1,324.17,0,324.17,185.0,139.17,Online,PayPal,3
ORD-00176,2026-01-28,C1354,Consumer,West,Victoria,Accessories,Headset,8,91.37,0,730.96,304.0,426.96,Retail Store,Credit Card,4
ORD-00177,2025-05-02,C1060,Consumer,Central,Ottawa,Accessories,Keyboard,2,68.67,0.1,123.61,56.0,67.61,Partner,PayPal,5
ORD-00178,2025-08-15,C1241,Small Business,West,Vancouver,Electronics,Webcam,1,120.58,0.05,114.55,55.0,59.55,Retail Store,Debit Card,4
ORD-00179,2025-03-25,C1258,Consumer,East,Quebec City,Accessories,USB-C Hub,3,80.37,0,241.11,93.0,148.11,Retail Store,Debit Card,4
ORD-00180,2025-06-18,C1414,Consumer,Central,Winnipeg,Electronics,Webcam,1,120.11,0,120.11,55.0,65.11,Retail Store,Bank Transfer,3
ORD-00181,2025-05-16,C1130,Small Business,East,Quebec City,Electronics,Webcam,2,114.25,0,228.5,110.0,118.5,Retail Store,Debit Card,3
ORD-00182,2025-03-16,C1241,Consumer,West,Victoria,Furniture,Office Chair,3,346.03,0.15,882.38,555.0,327.38,Online,PayPal,3
ORD-00183,2026-02-23,C1041,Corporate,West,Vancouver,Furniture,Standing Desk,2,543.25,0.15,923.52,660.0,263.52,Online,PayPal,4
